model_key,model_name,depth_m,rmse,mae,bias,correlation
full_oceanembed_v1,Full OceanEmbed v1,0,1.372,1.1969,-1.1938,0.5686
full_oceanembed_v1,Full OceanEmbed v1,5,1.2108,1.0213,-1.0092,0.5765
full_oceanembed_v1,Full OceanEmbed v1,10,1.1724,0.9967,-0.9844,0.5842
full_oceanembed_v1,Full OceanEmbed v1,20,0.8567,0.7011,-0.6251,0.5634
full_oceanembed_v1,Full OceanEmbed v1,30,0.7406,0.5955,-0.1122,0.3039
full_oceanembed_v1,Full OceanEmbed v1,50,0.8396,0.6612,0.376,0.1951
full_oceanembed_v1,Full OceanEmbed v1,75,1.1057,0.7498,0.3893,0.7668
full_oceanembed_v1,Full OceanEmbed v1,100,1.3249,0.9527,0.3492,0.7961
full_oceanembed_v1,Full OceanEmbed v1,125,1.2226,0.8694,0.257,0.7681
full_oceanembed_v1,Full OceanEmbed v1,150,1.011,0.7511,0.1429,0.7308
full_oceanembed_v1,Full OceanEmbed v1,200,0.5988,0.4531,0.0579,0.6362
full_oceanembed_v1,Full OceanEmbed v1,300,0.2487,0.1959,-0.0373,0.4205
full_oceanembed_v1,Full OceanEmbed v1,500,0.1904,0.1499,-0.0251,0.2446
full_oceanembed_v1,Full OceanEmbed v1,700,0.2286,0.1775,-0.0273,0.1972
full_oceanembed_v1,Full OceanEmbed v1,1000,0.2045,0.1597,-0.0124,0.0742
without_depth_conditioning,OceanEmbed w/o Depth Conditioning,0,1.3507,1.1838,-1.1821,0.5728
without_depth_conditioning,OceanEmbed w/o Depth Conditioning,5,1.1932,1.0266,-1.0204,0.5908
without_depth_conditioning,OceanEmbed w/o Depth Conditioning,10,1.1954,1.0076,-0.9942,0.5336
without_depth_conditioning,OceanEmbed w/o Depth Conditioning,20,0.8681,0.7097,-0.6022,0.4716
without_depth_conditioning,OceanEmbed w/o Depth Conditioning,30,0.7038,0.5552,-0.0307,0.3
without_depth_conditioning,OceanEmbed w/o Depth Conditioning,50,0.8309,0.6552,0.3654,0.234
without_depth_conditioning,OceanEmbed w/o Depth Conditioning,75,1.0412,0.77,0.4167,0.811
without_depth_conditioning,OceanEmbed w/o Depth Conditioning,100,1.3318,0.967,0.5027,0.8097
without_depth_conditioning,OceanEmbed w/o Depth Conditioning,125,1.1437,0.835,0.3282,0.7999
without_depth_conditioning,OceanEmbed w/o Depth Conditioning,150,0.8839,0.6847,0.1698,0.7895
without_depth_conditioning,OceanEmbed w/o Depth Conditioning,200,0.5752,0.4401,0.1807,0.7175
